#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	3	34	1.84	0.0019	9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032	PTPN6,IGKV2D-28,IGKV1-33
HSA-1643685	Disease	10	1702	0.67	0.0027	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000335062,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032,9606.ENSP00000489597	CD4,CD80,ICOS,CD28,CD86,PDCD1,PTPN6,IGKV2D-28,IGKV1-33,PTPN11
HSA-202733	Cell surface interactions at the vascular wall	4	139	1.36	0.0034	9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032,9606.ENSP00000489597	PTPN6,IGKV2D-28,IGKV1-33,PTPN11
HSA-173623	Classical antibody-mediated complement activation	2	9	2.24	0.0087	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-8877330	RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	2	10	2.2	0.0100	9606.ENSP00000229135,9606.ENSP00000497102	IFNG,CTLA4
HSA-5663205	Infectious disease	7	917	0.78	0.0105	9606.ENSP00000011653,9606.ENSP00000324890,9606.ENSP00000335062,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032,9606.ENSP00000489597	CD4,CD28,PDCD1,PTPN6,IGKV2D-28,IGKV1-33,PTPN11
HSA-210990	PECAM1 interactions	2	12	2.12	0.0127	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-9679506	SARS-CoV Infections	5	411	0.98	0.0134	9606.ENSP00000335062,9606.ENSP00000391592,9606.ENSP00000452662,9606.ENSP00000479032,9606.ENSP00000489597	PDCD1,PTPN6,IGKV2D-28,IGKV1-33,PTPN11
HSA-2029481	FCGR activation	2	15	2.02	0.0169	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-2168880	Scavenging of heme from plasma	2	15	2.02	0.0169	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-391160	Signal regulatory protein family interactions	2	15	2.02	0.0169	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-432142	Platelet sensitization by LDL	2	17	1.97	0.0180	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-9679191	Potential therapeutics for SARS	3	101	1.37	0.0202	9606.ENSP00000335062,9606.ENSP00000452662,9606.ENSP00000479032	PDCD1,IGKV2D-28,IGKV1-33
HSA-2730905	Role of LAT2/NTAL/LAB on calcium mobilization	2	19	1.92	0.0208	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	2	20	1.9	0.0222	9606.ENSP00000011653,9606.ENSP00000324890	CD4,CD28
HSA-9008059	Interleukin-37 signaling	2	21	1.88	0.0237	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-912694	Regulation of IFNA/IFNB signaling	2	25	1.8	0.0303	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	3	130	1.26	0.0341	9606.ENSP00000386559,9606.ENSP00000452662,9606.ENSP00000479032	CD8A,IGKV2D-28,IGKV1-33
HSA-201556	Signaling by ALK	2	27	1.77	0.0341	9606.ENSP00000370989,9606.ENSP00000391592	CD274,PTPN6
HSA-2029485	Role of phospholipids in phagocytosis	2	28	1.75	0.0341	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-2871796	FCERI mediated MAPK activation	2	34	1.67	0.0480	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-2871809	FCERI mediated Ca+2 mobilization	2	34	1.67	0.0480	9606.ENSP00000452662,9606.ENSP00000479032	IGKV2D-28,IGKV1-33
HSA-114604	GPVI-mediated activation cascade	2	35	1.65	0.0486	9606.ENSP00000391592,9606.ENSP00000489597	PTPN6,PTPN11
