#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	1	Red	15	PTPN11	9606.ENSP00000489597	Tyrosine-protein phosphatase non-receptor type 11; Acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction from the cell surface to the nucleus. Positively regulates MAPK signal transduction pathway. Dephosphorylates GAB1, ARHGAP35 and EGFR. Dephosphorylates ROCK2 at 'Tyr-722' resulting in stimulatation of its RhoA binding activity. Dephosphorylates CDC73.
kmeans	1	Red	15	PTPN6	9606.ENSP00000391592	Tyrosine-protein phosphatase non-receptor type 6; Modulates signaling by tyrosine phosphorylated cell surface receptors such as KIT and the EGF receptor/EGFR. The SH2 regions may interact with other cellular components to modulate its own phosphatase activity against interacting substrates. Together with MTUS1, induces UBE2V2 expression upon angiotensin II stimulation. Plays a key role in hematopoiesis.
kmeans	2	Green	7	IGHV3-16	9606.ENSP00000478725	Probable non-functional immunoglobulin heavy variable 3-16; Probable non-functional open reading frame (ORF) of V region of the variable domain of immunoglobulin heavy chains. Non-functional ORF generally cannot participate to the synthesis of a productive immunoglobulin chain due to altered V- (D)-J or switch recombination and/or splicing site (at mRNA level) and/or conserved amino acid change (protein level). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bou [...] 
kmeans	2	Green	7	IGHV3-43D	9606.ENSP00000481152	Immunoglobulin heavy variable 3-43D; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whi [...] 
kmeans	2	Green	7	IGKV1-33	9606.ENSP00000479032	Immunoglobulin kappa variable 1-33; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
kmeans	2	Green	7	IGKV1D-33	9606.ENSP00000482678	Immunoglobulin kappa variable 1D-33.
kmeans	2	Green	7	IGKV2D-28	9606.ENSP00000452662	Immunoglobulin kappa variable 2-28; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whic [...] 
kmeans	2	Green	7	IGKV2D-29	9606.ENSP00000483567	Immunoglobulin kappa variable 2D-29; V region of the variable domain of immunoglobulin light chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whi [...] 
kmeans	2	Green	7	LOC102723407	9606.ENSP00000478289	Immunoglobulin heavy variable 4-38-2; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, wh [...] 
kmeans	3	Blue	3	CD4	9606.ENSP00000011653	T-cell surface glycoprotein CD4; Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class II molecule:peptide complex. The antigens presented by class II peptides are derived from extracellular proteins while class I peptides are derived from cytosolic proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class II presented by antigen presenting cells (APCs). In turn, recruits the Src kina [...] 
kmeans	3	Blue	3	CD8A	9606.ENSP00000386559	T-cell surface glycoprotein CD8 alpha chain; Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class I molecule:peptide complex. The antigens presented by class I peptides are derived from cytosolic proteins while class II derived from extracellular proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class I proteins presented by antigen presenting cells (APCs). In turn, recruits the Sr [...] 
kmeans	3	Blue	3	IFNG	9606.ENSP00000229135	Interferon gamma; Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons; Belongs to the type II (or gamma) interferon family.
