#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD8A	PDCD1LG2	9606.ENSP00000386559	9606.ENSP00000380855	0	0	0	0	0.104	0	0	0.904	0.910
CD8A	CTLA4	9606.ENSP00000386559	9606.ENSP00000497102	0	0	0	0	0.182	0	0	0.930	0.940
CTLA4	LAG3	9606.ENSP00000497102	9606.ENSP00000203629	0	0	0	0	0.214	0.091	0	0.955	0.965
CTLA4	MTUS1	9606.ENSP00000497102	9606.ENSP00000262102	0	0	0	0	0.042	0	0	0.925	0.925
CTLA4	HAVCR2	9606.ENSP00000497102	9606.ENSP00000312002	0	0	0	0	0.147	0.091	0	0.890	0.907
CTLA4	ICOS	9606.ENSP00000497102	9606.ENSP00000319476	0	0	0	0	0.798	0	0	0.993	0.998
CTLA4	PDCD1	9606.ENSP00000497102	9606.ENSP00000335062	0	0	0	0	0.269	0	0	0.990	0.992
CTLA4	FOXP3	9606.ENSP00000497102	9606.ENSP00000365380	0	0	0	0	0.146	0.075	0.500	0.946	0.976
CTLA4	PDCD1LG2	9606.ENSP00000497102	9606.ENSP00000380855	0	0	0	0	0.091	0	0	0.998	0.998
CTLA4	TIGIT	9606.ENSP00000497102	9606.ENSP00000419085	0	0	0	0	0.331	0	0	0.889	0.922
CTLA4	IDO1	9606.ENSP00000497102	9606.ENSP00000430950	0	0	0	0	0.131	0	0	0.901	0.910
CTLA4	IGHV3-43D	9606.ENSP00000497102	9606.ENSP00000481152	0	0	0	0	0	0.900	0	0.054	0.901
CTLA4	PTPN11	9606.ENSP00000497102	9606.ENSP00000489597	0	0	0	0	0.062	0	0.500	0.984	0.991
CTLA4	MTUS2	9606.ENSP00000497102	9606.ENSP00000498251	0	0	0	0	0	0	0	0.926	0.926
FOXP3	STAT3	9606.ENSP00000365380	9606.ENSP00000264657	0	0	0	0	0	0.567	0	0.965	0.984
HAVCR2	LAG3	9606.ENSP00000312002	9606.ENSP00000203629	0	0	0	0	0.128	0	0	0.914	0.922
HAVCR2	IGHV3-43D	9606.ENSP00000312002	9606.ENSP00000481152	0	0	0	0	0	0.908	0	0.042	0.908
HAVCR2	PDCD1LG2	9606.ENSP00000312002	9606.ENSP00000380855	0	0	0	0	0.044	0	0	0.925	0.925
ICOS	IGHV3-43D	9606.ENSP00000319476	9606.ENSP00000481152	0	0	0	0	0.057	0.900	0	0.073	0.904
ICOS	PDCD1	9606.ENSP00000319476	9606.ENSP00000335062	0	0	0	0	0.212	0	0	0.929	0.941
ICOS	PDCD1LG2	9606.ENSP00000319476	9606.ENSP00000380855	0	0	0	0	0.100	0	0	0.971	0.972
IGHV3-43D	LAG3	9606.ENSP00000481152	9606.ENSP00000203629	0	0	0	0	0	0.908	0	0.042	0.908
IGHV3-43D	PDCD1	9606.ENSP00000481152	9606.ENSP00000335062	0	0	0	0	0	0.900	0	0	0.900
LAG3	PDCD1	9606.ENSP00000203629	9606.ENSP00000335062	0	0	0	0	0.316	0	0	0.929	0.950
LAG3	TIGIT	9606.ENSP00000203629	9606.ENSP00000419085	0	0	0.206	0	0.324	0	0	0.923	0.955
MTUS1	PDCD1	9606.ENSP00000262102	9606.ENSP00000335062	0	0	0.245	0	0	0	0	0.884	0.908
PDCD1	PTPN11	9606.ENSP00000335062	9606.ENSP00000489597	0	0	0	0	0	0.609	0.900	0.973	0.998
PDCD1	PDCD1LG2	9606.ENSP00000335062	9606.ENSP00000380855	0	0	0	0	0.117	0.974	0.900	0.999	0.999
PTPN11	STAT3	9606.ENSP00000489597	9606.ENSP00000264657	0	0	0	0	0.087	0.526	0.500	0.935	0.984
