#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	2	Green	9	CD86	9606.ENSP00000332049	T-lymphocyte activation antigen CD86; Receptor involved in the costimulatory signal essential for T-lymphocyte proliferation and interleukin-2 production, by binding CD28 or CTLA-4. May play a critical role in the early events of T-cell activation and costimulation of naive T-cells, such as deciding between immunity and anergy that is made by T-cells within 24 hours after activation. Isoform 2 interferes with the formation of CD86 clusters, and thus acts as a negative regulator of T-cell activation.
kmeans	2	Green	9	CTLA4	9606.ENSP00000497102	Cytotoxic T-lymphocyte protein 4; Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28.
kmeans	2	Green	9	FOXP3	9606.ENSP00000365380	Forkhead box protein P3, C-terminally processed; Transcriptional regulator which is crucial for the development and inhibitory function of regulatory T-cells (Treg). Plays an essential role in maintaining homeostasis of the immune system by allowing the acquisition of full suppressive function and stability of the Treg lineage, and by directly modulating the expansion and function of conventional T-cells. Can act either as a transcriptional repressor or a transcriptional activator depending on its interactions with other transcription factors, histone acetylases and deacetylases. The s [...] 
kmeans	2	Green	9	ICOS	9606.ENSP00000319476	Inducible T-cell costimulator; Enhances all basic T-cell responses to a foreign antigen, namely proliferation, secretion of lymphokines, up-regulation of molecules that mediate cell-cell interaction, and effective help for antibody secretion by B-cells. Essential both for efficient interaction between T and B-cells and for normal antibody responses to T-cell dependent antigens. Does not up-regulate the production of interleukin- 2, but superinduces the synthesis of interleukin-10. Prevents the apoptosis of pre-activated T-cells. Plays a critical role in CD40- mediated class switching o [...] 
kmeans	2	Green	9	IDO1	9606.ENSP00000430950	Indoleamine 2,3-dioxygenase 1; Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway. Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses. Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells. Acts as a suppressor of anti-tumor immunity. Limits the growth of int [...] 
kmeans	2	Green	9	MTUS1	9606.ENSP00000262102	Microtubule-associated tumor suppressor 1; Cooperates with AGTR2 to inhibit ERK2 activation and cell proliferation. May be required for AGTR2 cell surface expression. Together with PTPN6, induces UBE2V2 expression upon angiotensin-II stimulation. Isoform 1 inhibits breast cancer cell proliferation, delays the progression of mitosis by prolonging metaphase and reduces tumor growth.
kmeans	2	Green	9	MTUS2	9606.ENSP00000498251	Microtubule-associated tumor suppressor candidate 2; Binds microtubules. Together with MAPRE1 may target the microtubule depolymerase KIF2C to the plus-end of microtubules. May regulate the dynamics of microtubules at their growing distal tip. In the C-terminal section; belongs to the MTUS1 family.
kmeans	2	Green	9	PDCD1LG2	9606.ENSP00000380855	Programmed cell death 1 ligand 2; Involved in the costimulatory signal, essential for T-cell proliferation and IFNG production in a PDCD1-independent manner. Interaction with PDCD1 inhibits T-cell proliferation by blocking cell cycle progression and cytokine production (By similarity).
kmeans	2	Green	9	PTPN11	9606.ENSP00000489597	Tyrosine-protein phosphatase non-receptor type 11; Acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction from the cell surface to the nucleus. Positively regulates MAPK signal transduction pathway. Dephosphorylates GAB1, ARHGAP35 and EGFR. Dephosphorylates ROCK2 at 'Tyr-722' resulting in stimulatation of its RhoA binding activity. Dephosphorylates CDC73.
kmeans	3	Blue	2	CD4	9606.ENSP00000011653	T-cell surface glycoprotein CD4; Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class II molecule:peptide complex. The antigens presented by class II peptides are derived from extracellular proteins while class I peptides are derived from cytosolic proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class II presented by antigen presenting cells (APCs). In turn, recruits the Src kina [...] 
kmeans	3	Blue	2	CD8A	9606.ENSP00000386559	T-cell surface glycoprotein CD8 alpha chain; Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class I molecule:peptide complex. The antigens presented by class I peptides are derived from cytosolic proteins while class II derived from extracellular proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class I proteins presented by antigen presenting cells (APCs). In turn, recruits the Sr [...] 
