#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD28	ICOSLG	9606.ENSP00000324890	9606.ENSP00000339477	0	0	0	0	0.056	0	0	0.997	0.997
CD28	LCK	9606.ENSP00000324890	9606.ENSP00000477713	0	0	0	0	0.251	0	0.400	0.996	0.998
CD28	LOC102723996	9606.ENSP00000324890	9606.ENSP00000485129	0	0	0	0	0	0	0.900	0.997	0.999
CD28	CD86	9606.ENSP00000324890	9606.ENSP00000332049	0	0	0	0	0.130	0.607	0.900	0.999	0.999
CD4	LAG3	9606.ENSP00000011653	9606.ENSP00000203629	0	0	0.228	0	0.064	0	0	0.890	0.914
CD4	CD40	9606.ENSP00000011653	9606.ENSP00000361359	0	0	0	0	0.059	0	0	0.923	0.924
CD4	ICOS	9606.ENSP00000011653	9606.ENSP00000319476	0	0	0	0	0.255	0	0	0.909	0.929
CD4	PDCD1LG2	9606.ENSP00000011653	9606.ENSP00000380855	0	0	0	0	0.042	0	0.500	0.896	0.945
CD4	CTLA4	9606.ENSP00000011653	9606.ENSP00000497102	0	0	0	0	0.137	0.091	0	0.948	0.955
CD4	CD80	9606.ENSP00000011653	9606.ENSP00000264246	0	0	0	0	0.147	0.126	0	0.949	0.958
CD4	CD86	9606.ENSP00000011653	9606.ENSP00000332049	0	0	0	0	0.180	0	0	0.951	0.958
CD4	PDCD1	9606.ENSP00000011653	9606.ENSP00000335062	0	0	0	0	0.086	0	0.500	0.920	0.960
CD4	IL2	9606.ENSP00000011653	9606.ENSP00000226730	0	0	0	0	0.052	0	0	0.975	0.975
CD4	IL10	9606.ENSP00000011653	9606.ENSP00000412237	0	0	0	0	0.094	0	0	0.974	0.976
CD4	FOXP3	9606.ENSP00000011653	9606.ENSP00000365380	0	0	0	0	0.072	0.047	0	0.979	0.979
CD4	FYN	9606.ENSP00000011653	9606.ENSP00000346671	0	0	0	0	0.089	0.081	0	0.978	0.980
CD4	IFNG	9606.ENSP00000011653	9606.ENSP00000229135	0	0	0	0	0.094	0	0	0.991	0.991
CD4	LCK	9606.ENSP00000011653	9606.ENSP00000477713	0	0	0	0	0.097	0.981	0.900	0.998	0.999
CD4	CD8A	9606.ENSP00000011653	9606.ENSP00000386559	0	0	0	0	0.130	0.098	0.900	0.993	0.999
CD40	IFNG	9606.ENSP00000361359	9606.ENSP00000229135	0	0	0	0	0.056	0	0	0.926	0.927
CD40	CD80	9606.ENSP00000361359	9606.ENSP00000264246	0	0	0	0	0.258	0	0	0.999	0.999
CD40	ICOS	9606.ENSP00000361359	9606.ENSP00000319476	0	0	0	0	0.077	0	0	0.987	0.987
CD40	CD86	9606.ENSP00000361359	9606.ENSP00000332049	0	0	0	0	0.200	0	0	0.986	0.988
CD40	ICOSLG	9606.ENSP00000361359	9606.ENSP00000339477	0	0	0	0	0.097	0	0	0.955	0.957
CD40	IGHV3-16	9606.ENSP00000361359	9606.ENSP00000478725	0	0	0	0	0	0.900	0	0	0.900
CD40	IL10	9606.ENSP00000361359	9606.ENSP00000412237	0	0	0	0	0.049	0	0	0.900	0.901
CD40	IGHV3-43D	9606.ENSP00000361359	9606.ENSP00000481152	0	0	0	0	0	0.900	0	0.065	0.902
CD40	CD8A	9606.ENSP00000361359	9606.ENSP00000386559	0	0	0	0	0.056	0	0	0.914	0.915
CD40	TNFRSF4	9606.ENSP00000361359	9606.ENSP00000368538	0	0	0	0.619	0.097	0	0	0.939	0.942
CD40	CTLA4	9606.ENSP00000361359	9606.ENSP00000497102	0	0	0	0	0.071	0	0	0.973	0.973
CD40	LOC102723996	9606.ENSP00000361359	9606.ENSP00000485129	0	0	0	0	0	0	0	0.976	0.976
CD80	LAG3	9606.ENSP00000264246	9606.ENSP00000203629	0	0	0	0	0.097	0.126	0	0.989	0.990
CD80	IL2	9606.ENSP00000264246	9606.ENSP00000226730	0	0	0	0	0.063	0.069	0	0.898	0.903
CD80	IFNG	9606.ENSP00000264246	9606.ENSP00000229135	0	0	0	0	0.138	0	0	0.937	0.943
CD80	TIGIT	9606.ENSP00000264246	9606.ENSP00000419085	0	0	0	0	0.086	0	0	0.901	0.906
CD80	FOXP3	9606.ENSP00000264246	9606.ENSP00000365380	0	0	0	0	0.048	0	0	0.908	0.909
CD80	CD8A	9606.ENSP00000264246	9606.ENSP00000386559	0	0	0	0	0.055	0	0	0.959	0.959
CD80	IL10	9606.ENSP00000264246	9606.ENSP00000412237	0	0	0	0	0.182	0	0.400	0.928	0.962
CD80	HAVCR2	9606.ENSP00000264246	9606.ENSP00000312002	0	0	0	0	0.102	0.126	0	0.968	0.972
CD80	PDCD1LG2	9606.ENSP00000264246	9606.ENSP00000380855	0	0	0	0	0.146	0.060	0	0.993	0.993
CD80	TNFRSF4	9606.ENSP00000264246	9606.ENSP00000368538	0	0	0	0	0.121	0	0	0.994	0.994
CD80	ICOS	9606.ENSP00000264246	9606.ENSP00000319476	0	0	0	0	0.150	0	0	0.997	0.997
CD80	PDCD1	9606.ENSP00000264246	9606.ENSP00000335062	0	0	0	0	0.113	0.405	0	0.997	0.998
CD80	CTLA4	9606.ENSP00000264246	9606.ENSP00000497102	0	0	0	0	0.123	0.977	0.900	0.999	0.999
CD80	CD86	9606.ENSP00000264246	9606.ENSP00000332049	0	0	0	0.618	0.262	0.393	0.900	0.989	0.999
CD86	LAG3	9606.ENSP00000332049	9606.ENSP00000203629	0	0	0	0	0.067	0	0	0.979	0.979
CD86	IFNG	9606.ENSP00000332049	9606.ENSP00000229135	0	0	0	0	0.229	0	0	0.929	0.943
CD86	HAVCR2	9606.ENSP00000332049	9606.ENSP00000312002	0	0	0	0	0.201	0	0	0.965	0.971
CD86	ICOS	9606.ENSP00000332049	9606.ENSP00000319476	0	0	0	0	0.183	0	0	0.996	0.996
CD86	FOXP3	9606.ENSP00000332049	9606.ENSP00000365380	0	0	0	0	0.059	0	0	0.901	0.903
CD86	CD8A	9606.ENSP00000332049	9606.ENSP00000386559	0	0	0	0	0.164	0	0	0.923	0.933
CD86	IL10	9606.ENSP00000332049	9606.ENSP00000412237	0	0	0	0	0.207	0	0.400	0.934	0.966
CD86	PDCD1LG2	9606.ENSP00000332049	9606.ENSP00000380855	0	0	0	0	0.124	0	0	0.970	0.972
CD86	TNFRSF4	9606.ENSP00000332049	9606.ENSP00000368538	0	0	0	0	0.109	0	0	0.990	0.990
CD86	PDCD1	9606.ENSP00000332049	9606.ENSP00000335062	0	0	0	0	0.121	0	0	0.996	0.996
CD86	CTLA4	9606.ENSP00000332049	9606.ENSP00000497102	0	0	0	0	0.124	0.971	0.900	0.999	0.999
CD8A	LAG3	9606.ENSP00000386559	9606.ENSP00000203629	0	0	0	0	0.441	0.064	0	0.907	0.947
CD8A	IL2	9606.ENSP00000386559	9606.ENSP00000226730	0	0	0	0	0.056	0	0	0.971	0.971
CD8A	IFNG	9606.ENSP00000386559	9606.ENSP00000229135	0	0	0	0	0.322	0	0	0.987	0.990
CD8A	ICOS	9606.ENSP00000386559	9606.ENSP00000319476	0	0	0	0	0.265	0	0	0.874	0.903
CD8A	PDCD1	9606.ENSP00000386559	9606.ENSP00000335062	0	0	0	0	0.174	0	0	0.929	0.938
CD8A	FYN	9606.ENSP00000386559	9606.ENSP00000346671	0	0	0	0	0.137	0.056	0	0.960	0.964
CD8A	FOXP3	9606.ENSP00000386559	9606.ENSP00000365380	0	0	0	0	0.094	0	0	0.946	0.948
CD8A	PDCD1LG2	9606.ENSP00000386559	9606.ENSP00000380855	0	0	0	0	0.104	0	0	0.904	0.910
CD8A	CTLA4	9606.ENSP00000386559	9606.ENSP00000497102	0	0	0	0	0.182	0	0	0.930	0.940
CD8A	IL10	9606.ENSP00000386559	9606.ENSP00000412237	0	0	0	0	0.105	0	0	0.955	0.958
CD8A	LCK	9606.ENSP00000386559	9606.ENSP00000477713	0	0	0	0	0.471	0.903	0.900	0.998	0.999
CTLA4	LAG3	9606.ENSP00000497102	9606.ENSP00000203629	0	0	0	0	0.214	0.091	0	0.955	0.965
CTLA4	IL2	9606.ENSP00000497102	9606.ENSP00000226730	0	0	0	0	0.140	0	0	0.937	0.943
CTLA4	IFNG	9606.ENSP00000497102	9606.ENSP00000229135	0	0	0	0	0.302	0	0	0.933	0.951
CTLA4	NECTIN2	9606.ENSP00000497102	9606.ENSP00000252483	0	0	0	0	0	0	0	0.931	0.931
CTLA4	MTUS1	9606.ENSP00000497102	9606.ENSP00000262102	0	0	0	0	0.042	0	0	0.925	0.925
CTLA4	HAVCR2	9606.ENSP00000497102	9606.ENSP00000312002	0	0	0	0	0.147	0.091	0	0.890	0.907
CTLA4	LGALS9B	9606.ENSP00000497102	9606.ENSP00000315564	0	0	0	0	0	0	0	0.973	0.973
CTLA4	ICOS	9606.ENSP00000497102	9606.ENSP00000319476	0	0	0	0	0.798	0	0	0.993	0.998
CTLA4	TNFRSF18	9606.ENSP00000497102	9606.ENSP00000328207	0	0	0	0	0.103	0	0	0.927	0.932
CTLA4	LGALS9C	9606.ENSP00000497102	9606.ENSP00000329932	0	0	0	0	0	0	0	0.973	0.973
CTLA4	PDCD1	9606.ENSP00000497102	9606.ENSP00000335062	0	0	0	0	0.269	0	0	0.990	0.992
CTLA4	ICOSLG	9606.ENSP00000497102	9606.ENSP00000339477	0	0	0	0	0.080	0	0	0.992	0.992
CTLA4	FYN	9606.ENSP00000497102	9606.ENSP00000346671	0	0	0	0	0.073	0.600	0.500	0.576	0.910
CTLA4	VTCN1	9606.ENSP00000497102	9606.ENSP00000358470	0	0	0	0	0	0	0	0.953	0.953
CTLA4	LCN2	9606.ENSP00000497102	9606.ENSP00000362108	0	0	0	0	0	0.967	0	0.654	0.988
CTLA4	FOXP3	9606.ENSP00000497102	9606.ENSP00000365380	0	0	0	0	0.146	0.075	0.500	0.946	0.976
CTLA4	TNFRSF4	9606.ENSP00000497102	9606.ENSP00000368538	0	0	0	0	0.185	0	0	0.891	0.907
CTLA4	LGALS9	9606.ENSP00000497102	9606.ENSP00000378856	0	0	0	0	0.062	0	0	0.990	0.991
CTLA4	PDCD1LG2	9606.ENSP00000497102	9606.ENSP00000380855	0	0	0	0	0.091	0	0	0.998	0.998
CTLA4	PTPN6	9606.ENSP00000497102	9606.ENSP00000391592	0	0	0	0	0.088	0	0.900	0.543	0.954
CTLA4	PVR	9606.ENSP00000497102	9606.ENSP00000402060	0	0	0	0	0	0	0	0.950	0.950
CTLA4	IL10	9606.ENSP00000497102	9606.ENSP00000412237	0	0	0	0	0.119	0	0	0.915	0.922
CTLA4	TIGIT	9606.ENSP00000497102	9606.ENSP00000419085	0	0	0	0	0.331	0	0	0.889	0.922
CTLA4	IDO1	9606.ENSP00000497102	9606.ENSP00000430950	0	0	0	0	0.131	0	0	0.901	0.910
CTLA4	IGHV3OR16-9	9606.ENSP00000497102	9606.ENSP00000475107	0	0	0	0	0	0.900	0	0	0.900
CTLA4	LCK	9606.ENSP00000497102	9606.ENSP00000477713	0	0	0	0	0.208	0.292	0.500	0.720	0.911
CTLA4	LOC102723407	9606.ENSP00000497102	9606.ENSP00000478289	0	0	0	0	0	0.900	0	0.330	0.930
CTLA4	IGHV3-16	9606.ENSP00000497102	9606.ENSP00000478725	0	0	0	0	0	0.900	0	0	0.900
CTLA4	IGHV3-43D	9606.ENSP00000497102	9606.ENSP00000481152	0	0	0	0	0	0.900	0	0.054	0.901
CTLA4	LOC102723996	9606.ENSP00000497102	9606.ENSP00000485129	0	0	0	0	0.074	0	0.900	0.993	0.999
CTLA4	PTPN11	9606.ENSP00000497102	9606.ENSP00000489597	0	0	0	0	0.062	0	0.500	0.984	0.991
CTLA4	MTUS2	9606.ENSP00000497102	9606.ENSP00000498251	0	0	0	0	0	0	0	0.926	0.926
FOXP3	IL2	9606.ENSP00000365380	9606.ENSP00000226730	0	0	0	0	0.121	0.695	0.500	0.946	0.991
FOXP3	IFNG	9606.ENSP00000365380	9606.ENSP00000229135	0	0	0	0	0.114	0.301	0.500	0.950	0.982
FOXP3	TNFRSF18	9606.ENSP00000365380	9606.ENSP00000328207	0	0	0	0	0.062	0.095	0.500	0.912	0.957
FOXP3	IL10	9606.ENSP00000365380	9606.ENSP00000412237	0	0	0	0	0.105	0	0	0.952	0.955
FYN	PTPN11	9606.ENSP00000346671	9606.ENSP00000489597	0	0	0	0.556	0.086	0.538	0.800	0.878	0.988
FYN	LCK	9606.ENSP00000346671	9606.ENSP00000477713	0	0	0.063	0.955	0.162	0.292	0.900	0.981	0.998
HAVCR2	LAG3	9606.ENSP00000312002	9606.ENSP00000203629	0	0	0	0	0.128	0	0	0.914	0.922
HAVCR2	IGHV3-43D	9606.ENSP00000312002	9606.ENSP00000481152	0	0	0	0	0	0.908	0	0.042	0.908
HAVCR2	LOC102723407	9606.ENSP00000312002	9606.ENSP00000478289	0	0	0	0	0	0.908	0	0.166	0.920
HAVCR2	PDCD1LG2	9606.ENSP00000312002	9606.ENSP00000380855	0	0	0	0	0.044	0	0	0.925	0.925
HAVCR2	LCK	9606.ENSP00000312002	9606.ENSP00000477713	0	0	0	0	0.101	0.530	0	0.860	0.935
HAVCR2	LGALS9B	9606.ENSP00000312002	9606.ENSP00000315564	0	0	0	0	0	0.095	0	0.998	0.998
HAVCR2	LGALS9C	9606.ENSP00000312002	9606.ENSP00000329932	0	0	0	0	0	0.095	0	0.998	0.998
HAVCR2	LGALS9	9606.ENSP00000312002	9606.ENSP00000378856	0	0	0	0	0.086	0.095	0.900	0.999	0.999
ICOS	IGHV3-43D	9606.ENSP00000319476	9606.ENSP00000481152	0	0	0	0	0.057	0.900	0	0.073	0.904
ICOS	TNFRSF4	9606.ENSP00000319476	9606.ENSP00000368538	0	0	0	0	0.259	0	0	0.898	0.921
ICOS	PDCD1	9606.ENSP00000319476	9606.ENSP00000335062	0	0	0	0	0.212	0	0	0.929	0.941
ICOS	PDCD1LG2	9606.ENSP00000319476	9606.ENSP00000380855	0	0	0	0	0.100	0	0	0.971	0.972
ICOS	ICOSLG	9606.ENSP00000319476	9606.ENSP00000339477	0	0	0	0	0.067	0.916	0.900	0.999	0.999
ICOS	LOC102723996	9606.ENSP00000319476	9606.ENSP00000485129	0	0	0	0	0.060	0.961	0.900	0.999	0.999
ICOSLG	IGHV3-43D	9606.ENSP00000339477	9606.ENSP00000481152	0	0	0	0	0	0.900	0	0	0.900
ICOSLG	IGHV3-16	9606.ENSP00000339477	9606.ENSP00000478725	0	0	0	0	0	0.900	0	0	0.900
ICOSLG	TNFRSF4	9606.ENSP00000339477	9606.ENSP00000368538	0	0	0	0	0.099	0	0	0.985	0.986
IDO1	IFNG	9606.ENSP00000430950	9606.ENSP00000229135	0	0	0	0	0.165	0	0	0.920	0.930
IFNG	IL2	9606.ENSP00000229135	9606.ENSP00000226730	0	0	0	0	0.295	0	0	0.987	0.990
IFNG	PDCD1	9606.ENSP00000229135	9606.ENSP00000335062	0	0	0.320	0	0.216	0	0	0.854	0.915
IFNG	IL10	9606.ENSP00000229135	9606.ENSP00000412237	0	0	0	0	0.566	0	0	0.989	0.995
IGHV3-16	PDCD1	9606.ENSP00000478725	9606.ENSP00000335062	0	0	0	0	0	0.900	0	0	0.900
IGHV3-16	IGHV3OR16-9	9606.ENSP00000478725	9606.ENSP00000475107	0	0	0.049	0.983	0	0.900	0	0	0.900
IGHV3-16	LOC102723996	9606.ENSP00000478725	9606.ENSP00000485129	0	0	0	0	0	0.900	0	0	0.900
IGHV3-16	IGHV3-43D	9606.ENSP00000478725	9606.ENSP00000481152	0	0	0.053	0.975	0	0.900	0.540	0.054	0.953
IGHV3-43D	LAG3	9606.ENSP00000481152	9606.ENSP00000203629	0	0	0	0	0	0.908	0	0.042	0.908
IGHV3-43D	PDCD1	9606.ENSP00000481152	9606.ENSP00000335062	0	0	0	0	0	0.900	0	0	0.900
IGHV3-43D	LOC102723407	9606.ENSP00000481152	9606.ENSP00000478289	0	0	0.076	0.922	0	0.900	0.540	0.077	0.955
IGHV3-43D	LOC102723996	9606.ENSP00000481152	9606.ENSP00000485129	0	0	0	0	0	0.900	0	0	0.900
IL10	IL2	9606.ENSP00000412237	9606.ENSP00000226730	0	0	0	0	0.056	0	0	0.963	0.964
IL2	LCK	9606.ENSP00000226730	9606.ENSP00000477713	0	0	0	0	0.048	0	0.400	0.860	0.913
IL2	LOC102723407	9606.ENSP00000226730	9606.ENSP00000478289	0	0	0	0	0	0.902	0	0.450	0.944
LAG3	PDCD1	9606.ENSP00000203629	9606.ENSP00000335062	0	0	0	0	0.316	0	0	0.929	0.950
LAG3	TIGIT	9606.ENSP00000203629	9606.ENSP00000419085	0	0	0.206	0	0.324	0	0	0.923	0.955
LAG3	LGALS9C	9606.ENSP00000203629	9606.ENSP00000329932	0	0	0	0	0	0	0	0.991	0.991
LAG3	LGALS9B	9606.ENSP00000203629	9606.ENSP00000315564	0	0	0	0	0	0	0	0.991	0.991
LAG3	LGALS9	9606.ENSP00000203629	9606.ENSP00000378856	0	0	0	0	0.067	0	0	0.993	0.993
LCK	PTPN6	9606.ENSP00000477713	9606.ENSP00000391592	0	0	0	0.561	0.156	0.693	0.500	0.502	0.926
LGALS9	PDCD1	9606.ENSP00000378856	9606.ENSP00000335062	0	0	0	0	0.086	0	0	0.968	0.969
LGALS9	TIGIT	9606.ENSP00000378856	9606.ENSP00000419085	0	0	0	0	0.073	0	0	0.974	0.975
LGALS9B	PDCD1	9606.ENSP00000315564	9606.ENSP00000335062	0	0	0	0	0.062	0	0	0.946	0.947
LGALS9B	TIGIT	9606.ENSP00000315564	9606.ENSP00000419085	0	0	0	0	0	0	0	0.950	0.950
LGALS9C	PDCD1	9606.ENSP00000329932	9606.ENSP00000335062	0	0	0	0	0.067	0	0	0.946	0.948
LGALS9C	TIGIT	9606.ENSP00000329932	9606.ENSP00000419085	0	0	0	0	0.059	0	0	0.950	0.951
LOC102723407	PDCD1	9606.ENSP00000478289	9606.ENSP00000335062	0	0	0	0	0	0.900	0	0.270	0.923
LOC102723996	TNFRSF4	9606.ENSP00000485129	9606.ENSP00000368538	0	0	0	0	0.058	0	0	0.992	0.992
MTUS1	PDCD1	9606.ENSP00000262102	9606.ENSP00000335062	0	0	0.245	0	0	0	0	0.884	0.908
NECTIN2	TIGIT	9606.ENSP00000252483	9606.ENSP00000419085	0	0	0	0	0	0.971	0.900	0.999	0.999
PDCD1	PTPN6	9606.ENSP00000335062	9606.ENSP00000391592	0	0	0	0	0.109	0.292	0.900	0.463	0.961
PDCD1	PTPN11	9606.ENSP00000335062	9606.ENSP00000489597	0	0	0	0	0	0.609	0.900	0.973	0.998
PDCD1	PDCD1LG2	9606.ENSP00000335062	9606.ENSP00000380855	0	0	0	0	0.117	0.974	0.900	0.999	0.999
PDCD1LG2	VTCN1	9606.ENSP00000380855	9606.ENSP00000358470	0	0	0	0	0	0	0	0.935	0.935
PTPN11	PTPN6	9606.ENSP00000489597	9606.ENSP00000391592	0	0	0.064	0.950	0.042	0.079	0.900	0.497	0.950
PVR	TIGIT	9606.ENSP00000402060	9606.ENSP00000419085	0	0	0	0	0	0.966	0.900	0.997	0.999
TNFRSF18	TNFRSF4	9606.ENSP00000328207	9606.ENSP00000368538	0	0	0	0	0.302	0	0	0.944	0.959
