#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
kmeans	2	Green	31	CD276	9606.ENSP00000320084	CD276 antigen; May participate in the regulation of T-cell-mediated immune response. May play a protective role in tumor cells by inhibiting natural-killer mediated cell lysis as well as a role of marker for detection of neuroblastoma cells. May be involved in the development of acute and chronic transplant rejection and in the regulation of lymphocytic activity at mucosal surfaces. Could also play a key role in providing the placenta and fetus with a suitable immunological environment throughout pregnancy. Both isoform 1 and isoform 2 appear to be redundant in their ability to modulat [...] 
kmeans	2	Green	31	CD28	9606.ENSP00000324890	T-cell-specific surface glycoprotein CD28; Involved in T-cell activation, the induction of cell proliferation and cytokine production and promotion of T-cell survival. Enhances the production of IL4 and IL10 in T-cells in conjunction with TCR/CD3 ligation and CD40L costimulation. Isoform 3 enhances CD40L-mediated activation of NF-kappa-B and kinases MAPK8 and PAK2 in T-cells.
kmeans	2	Green	31	CD40	9606.ENSP00000361359	Tumor necrosis factor receptor superfamily member 5; Receptor for TNFSF5/CD40LG. Transduces TRAF6- and MAP3K8-mediated signals that activate ERK in macrophages and B cells, leading to induction of immunoglobulin secretion (By similarity).
kmeans	2	Green	31	CD80	9606.ENSP00000264246	T-lymphocyte activation antigen CD80; Involved in the costimulatory signal essential for T- lymphocyte activation. T-cell proliferation and cytokine production is induced by the binding of CD28, binding to CTLA-4 has opposite effects and inhibits T-cell activation.
kmeans	2	Green	31	CD86	9606.ENSP00000332049	T-lymphocyte activation antigen CD86; Receptor involved in the costimulatory signal essential for T-lymphocyte proliferation and interleukin-2 production, by binding CD28 or CTLA-4. May play a critical role in the early events of T-cell activation and costimulation of naive T-cells, such as deciding between immunity and anergy that is made by T-cells within 24 hours after activation. Isoform 2 interferes with the formation of CD86 clusters, and thus acts as a negative regulator of T-cell activation.
kmeans	2	Green	31	CTLA4	9606.ENSP00000497102	Cytotoxic T-lymphocyte protein 4; Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28.
kmeans	2	Green	31	HAVCR2	9606.ENSP00000312002	Hepatitis A virus cellular receptor 2; Cell surface receptor implicated in modulating innate and adaptive immune responses. Generally accepted to have an inhibiting function. Reports on stimulating functions suggest that the activity may be influenced by the cellular context and/or the respective ligand. Regulates macrophage activation. Inhibits T-helper type 1 lymphocyte (Th1)-mediated auto- and alloimmune responses and promotes immunological tolerance. In CD8+ cells attenuates TCR-induced signaling, specifically by blocking NF-kappaB and NFAT promoter activities resulting in the loss [...] 
kmeans	2	Green	31	ICOS	9606.ENSP00000319476	Inducible T-cell costimulator; Enhances all basic T-cell responses to a foreign antigen, namely proliferation, secretion of lymphokines, up-regulation of molecules that mediate cell-cell interaction, and effective help for antibody secretion by B-cells. Essential both for efficient interaction between T and B-cells and for normal antibody responses to T-cell dependent antigens. Does not up-regulate the production of interleukin- 2, but superinduces the synthesis of interleukin-10. Prevents the apoptosis of pre-activated T-cells. Plays a critical role in CD40- mediated class switching o [...] 
kmeans	2	Green	31	ICOSLG	9606.ENSP00000339477	Ig-like domain-containing protein; Inducible T cell costimulator ligand.
kmeans	2	Green	31	IDO1	9606.ENSP00000430950	Indoleamine 2,3-dioxygenase 1; Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway. Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses. Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells. Acts as a suppressor of anti-tumor immunity. Limits the growth of int [...] 
kmeans	2	Green	31	IGHV3-16	9606.ENSP00000478725	Probable non-functional immunoglobulin heavy variable 3-16; Probable non-functional open reading frame (ORF) of V region of the variable domain of immunoglobulin heavy chains. Non-functional ORF generally cannot participate to the synthesis of a productive immunoglobulin chain due to altered V- (D)-J or switch recombination and/or splicing site (at mRNA level) and/or conserved amino acid change (protein level). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bou [...] 
kmeans	2	Green	31	IGHV3-43D	9606.ENSP00000481152	Immunoglobulin heavy variable 3-43D; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whi [...] 
kmeans	2	Green	31	IGHV3OR16-9	9606.ENSP00000475107	Immunoglobulin heavy variable 3/OR16-9.
kmeans	2	Green	31	LAG3	9606.ENSP00000203629	Secreted lymphocyte activation gene 3 protein; Lymphocyte activation gene 3 protein: Inhibitory receptor on antigen activated T-cells. Delivers inhibitory signals upon binding to ligands, such as FGL1 (By similarity). FGL1 constitutes a major ligand of LAG3 and is responsible for LAG3 T-cell inhibitory function (By similarity). Following TCR engagement, LAG3 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (By similarity). May inhibit antigen-specific T-cell activation in synergy with PDCD1/PD-1, possibly by acting as a coreceptor for PDCD1/P [...] 
kmeans	2	Green	31	LCN2	9606.ENSP00000362108	Neutrophil gelatinase-associated lipocalin; Iron-trafficking protein involved in multiple processes such as apoptosis, innate immunity and renal development. Binds iron through association with 2,5-dihydroxybenzoic acid (2,5-DHBA), a siderophore that shares structural similarities with bacterial enterobactin, and delivers or removes iron from the cell, depending on the context. Iron-bound form (holo-24p3) is internalized following binding to the SLC22A17 (24p3R) receptor, leading to release of iron and subsequent increase of intracellular iron concentration. In contrast, association of [...] 
kmeans	2	Green	31	LGALS9	9606.ENSP00000378856	Galectin-9; Binds galactosides. Has high affinity for the Forssman pentasaccharide. Ligand for HAVCR2/TIM3. Binding to HAVCR2 induces T-helper type 1 lymphocyte (Th1) death. Also stimulates bactericidal activity in infected macrophages by causing macrophage activation and IL1B secretion which restricts intracellular bacterial growth (By similarity). Ligand for P4HB; the interaction retains P4HB at the cell surface of Th2 T-helper cells, increasing disulfide reductase activity at the plasma membrane, altering the plasma membrane redox state and enhancing cell migration. Ligand for CD44; [...] 
kmeans	2	Green	31	LGALS9B	9606.ENSP00000315564	Galectin-9B; Binds galactosides.
kmeans	2	Green	31	LGALS9C	9606.ENSP00000329932	Galectin-9C; Binds galactosides.
kmeans	2	Green	31	LOC102723407	9606.ENSP00000478289	Immunoglobulin heavy variable 4-38-2; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, wh [...] 
kmeans	2	Green	31	LOC102723996	9606.ENSP00000485129	ICOS ligand; Ligand for the T-cell-specific cell surface receptor ICOS. Acts as a costimulatory signal for T-cell proliferation and cytokine secretion; induces also B-cell proliferation and differentiation into plasma cells. Could play an important role in mediating local tissue responses to inflammatory conditions, as well as in modulating the secondary immune response by co-stimulating memory T-cell function (By similarity).
kmeans	2	Green	31	MTUS1	9606.ENSP00000262102	Microtubule-associated tumor suppressor 1; Cooperates with AGTR2 to inhibit ERK2 activation and cell proliferation. May be required for AGTR2 cell surface expression. Together with PTPN6, induces UBE2V2 expression upon angiotensin-II stimulation. Isoform 1 inhibits breast cancer cell proliferation, delays the progression of mitosis by prolonging metaphase and reduces tumor growth.
kmeans	2	Green	31	MTUS2	9606.ENSP00000498251	Microtubule-associated tumor suppressor candidate 2; Binds microtubules. Together with MAPRE1 may target the microtubule depolymerase KIF2C to the plus-end of microtubules. May regulate the dynamics of microtubules at their growing distal tip. In the C-terminal section; belongs to the MTUS1 family.
kmeans	2	Green	31	PDCD1	9606.ENSP00000335062	Programmed cell death protein 1; Inhibitory receptor on antigen activated T-cells that plays a critical role in induction and maintenance of immune tolerance to self. Delivers inhibitory signals upon binding to ligands CD274/PDCD1L1 and CD273/PDCD1LG2. Following T-cell receptor (TCR) engagement, PDCD1 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (By similarity). Suppresses T-cell activation through the recruitment of PTPN11/SHP-2: following ligand-binding, PDCD1 is phosphorylated within the ITSM motif, leading to the recruitment of the pr [...] 
kmeans	2	Green	31	PDCD1LG2	9606.ENSP00000380855	Programmed cell death 1 ligand 2; Involved in the costimulatory signal, essential for T-cell proliferation and IFNG production in a PDCD1-independent manner. Interaction with PDCD1 inhibits T-cell proliferation by blocking cell cycle progression and cytokine production (By similarity).
kmeans	2	Green	31	PTPN11	9606.ENSP00000489597	Tyrosine-protein phosphatase non-receptor type 11; Acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction from the cell surface to the nucleus. Positively regulates MAPK signal transduction pathway. Dephosphorylates GAB1, ARHGAP35 and EGFR. Dephosphorylates ROCK2 at 'Tyr-722' resulting in stimulatation of its RhoA binding activity. Dephosphorylates CDC73.
kmeans	2	Green	31	PTPN6	9606.ENSP00000391592	Tyrosine-protein phosphatase non-receptor type 6; Modulates signaling by tyrosine phosphorylated cell surface receptors such as KIT and the EGF receptor/EGFR. The SH2 regions may interact with other cellular components to modulate its own phosphatase activity against interacting substrates. Together with MTUS1, induces UBE2V2 expression upon angiotensin II stimulation. Plays a key role in hematopoiesis.
kmeans	2	Green	31	TNFRSF18	9606.ENSP00000328207	Tumor necrosis factor receptor superfamily member 18; Receptor for TNFSF18. Seems to be involved in interactions between activated T-lymphocytes and endothelial cells and in the regulation of T-cell receptor-mediated cell death. Mediated NF-kappa-B activation via the TRAF2/NIK pathway.
kmeans	2	Green	31	TNFRSF4	9606.ENSP00000368538	Tumor necrosis factor receptor superfamily member 4; Receptor for TNFSF4/OX40L/GP34. Is a costimulatory molecule implicated in long-term T-cell immunity.
kmeans	2	Green	31	VTCN1	9606.ENSP00000358470	V-set domain-containing T-cell activation inhibitor 1; Negatively regulates T-cell-mediated immune response by inhibiting T-cell activation, proliferation, cytokine production and development of cytotoxicity. When expressed on the cell surface of tumor macrophages, plays an important role, together with regulatory T- cells (Treg), in the suppression of tumor-associated antigen-specific T-cell immunity. Involved in promoting epithelial cell transformation.
kmeans	3	Blue	3	NECTIN2	9606.ENSP00000252483	Nectin-2; Modulator of T-cell signaling. Can be either a costimulator of T-cell function, or a coinhibitor, depending on the receptor it binds to. Upon binding to CD226, stimulates T-cell proliferation and cytokine production, including that of IL2, IL5, IL10, IL13, and IFNG. Upon interaction with PVRIG, inhibits T-cell proliferation. These interactions are competitive. Probable cell adhesion protein ; Belongs to the nectin family.
kmeans	3	Blue	3	PVR	9606.ENSP00000402060	Poliovirus receptor; Mediates NK cell adhesion and triggers NK cell effector functions. Binds two different NK cell receptors: CD96 and CD226. These interactions accumulates at the cell-cell contact site, leading to the formation of a mature immunological synapse between NK cell and target cell. This may trigger adhesion and secretion of lytic granules and IFN-gamma and activate cytoxicity of activated NK cells. May also promote NK cell-target cell modular exchange, and PVR transfer to the NK cell. This transfer is more important in some tumor cells expressing a lot of PVR, and may tri [...] 
kmeans	3	Blue	3	TIGIT	9606.ENSP00000419085	T-cell immunoreceptor with Ig and ITIM domains; Binds with high affinity to the poliovirus receptor (PVR) which causes increased secretion of IL10 and decreased secretion of IL12B and suppresses T-cell activation by promoting the generation of mature immunoregulatory dendritic cells.
